Dimension,GapCategory,Direction,Urgency,RecommendationText
TimeFocus,High,UserHigher,Red,"You are significantly more polychronic than the target culture. Action: Strictly adhere to schedules and arrive 5-10 minutes early. Keep your phone away and avoid multitasking during conversations. Never assume you can 'make it up later'—respect their need for sequential, focused interactions by giving them your undivided attention."
TimeFocus,High,UserLower,Red,"You are significantly more monochronic than the target culture. Action: Build flexibility into your schedule—expect meetings to start 15-30 minutes late. Do not check your watch or show visible frustration. Use waiting time for relationship-building (small talk) rather than impatience. Understand that completing the human connection is more important than sticking to the clock."
TimeFocus,Medium,UserHigher,Yellow,"You are more polychronic than the target culture. Action: Increase your punctuality. Minimize multitasking during meetings (close your laptop if others are speaking). Allow less flexibility than you normally would and stick to the agenda."
TimeFocus,Medium,UserLower,Yellow,"You are more monochronic than the target culture. Action: Allow more flexibility in your schedule. Be patient with delays and use waiting time for informal conversations. Do not push too hard for strict adherence to agendas; let the conversation flow naturally."
TimeFocus,Low,Aligned,Green,"Your time management style is closely aligned with the target culture. You naturally understand their approach to scheduling, punctuality, and deadlines. This will facilitate smooth interactions and reduce friction."
TimeOrientation,High,UserHigher,Red,"You are significantly more future-oriented than the target culture. Action: Do not dismiss historical precedents or long-standing practices as 'outdated.' Show respect for rituals and heritage. Frame new ideas as natural extensions of tradition rather than breaks from it. Avoid pushing for rapid, disruptive change."
TimeOrientation,High,UserLower,Red,"You are significantly more past-oriented than the target culture. Action: Emphasize innovation, vision, and long-term planning in your proposals. Show how your ideas position the organization for future success. Avoid leaning too heavily on 'how things have always been done.' Demonstrate forward-thinking."
TimeOrientation,Medium,UserHigher,Yellow,"You are more future-oriented than the target culture. Action: Balance innovation with respect for heritage. Acknowledge historical context before proposing change. Frame new ideas as building on the past, not replacing it."
TimeOrientation,Medium,UserLower,Yellow,"You are more past-oriented than the target culture. Action: Incorporate more forward-looking language in your proposals. Emphasize how decisions will position you for future success. Be more open to innovation and change."
TimeOrientation,Low,Aligned,Green,"Your time orientation is closely aligned with the target culture. You naturally understand their balance between honoring the past and planning for the future. This will facilitate smooth strategic conversations."
Space,High,UserHigher,Red,"You prefer significantly more public, open interaction than the target culture. Action: Do not ask personal questions (salary, family, marital status) early in relationships. Respect closed office doors and private spaces. Maintain professional distance until explicitly invited otherwise. Understand that privacy is not coldness—it is respect."
Space,High,UserLower,Red,"You prefer significantly more privacy than the target culture. Action: Be prepared for personal questions early in relationships. Share appropriately about your family and personal life. Participate in communal activities. Understand that openness builds trust here—keeping distance may be interpreted as coldness or distrust."
Space,Medium,UserHigher,Yellow,"You prefer more open, communal interaction than the target culture. Action: Be more reserved in early interactions. Avoid overly personal questions. Respect physical and conversational boundaries. Build trust gradually rather than immediately."
Space,Medium,UserLower,Yellow,"You prefer more privacy than the target culture. Action: Be more willing to share personal information appropriately. Participate in social gatherings. Understand that openness is a form of trust-building here, not intrusion."
Space,Low,Aligned,Green,"Your approach to personal space and boundaries is closely aligned with the target culture. You naturally understand their norms around privacy and openness. This will facilitate comfortable interpersonal interactions."
Power,High,UserHigher,Red,"You expect significantly more hierarchy than the target culture. Action: Avoid deferring excessively to senior figures or expecting special treatment based on your position. Speak up in meetings regardless of rank. Use first names if invited. Do not expect formal protocols or titles to carry weight. Flatten your approach—treat everyone as equals."
Power,High,UserLower,Red,"You are significantly more egalitarian than the target culture. Action: Show explicit respect for seniority and titles. Wait to be invited to speak or sit. Never publicly contradict a superior or challenge their authority. Use formal address (titles, surnames) until explicitly invited otherwise. Understand that hierarchy is not optional—it is the foundation of how things work here."
Power,Medium,UserHigher,Yellow,"You expect more hierarchy than the target culture. Action: Flatten your approach. Encourage open dialogue and feedback from junior team members. Reduce formal protocols. Be more accessible and approachable than you normally would."
