Country,Category,Tip
China,Relationships,"Invest time in building 'Guanxi' (personal connections). Expect to spend significant time on meals and socializing before any serious business discussions begin."
China,Communication,"Protect 'Mianzi' (Face) at all costs. Never criticize, correct, or say a blunt 'no' to someone in public. Use intermediaries or subtle hints to deliver bad news."
China,Hierarchy,"Defer to the eldest or highest-ranking person in the room. Wait to be invited to sit, and always allow the most senior person to speak or eat first."
Brazil,Time,"Expect a 'polychronic' approach to time. Meetings may start late and run over schedule. Do not show frustration; use the extra time to build personal rapport."
Brazil,Relationships,"Business is done between friends, not just companies. Accept invitations for coffee or lunch, and be prepared for a more relaxed, flexible approach to strict agendas."
Brazil,Communication,"Expect closer physical proximity and more physical touch (like a pat on the arm) during conversation. Maintain eye contact and do not back away, as this signals trust."
Egypt,Hospitality,"Accept offers of tea or coffee; refusing can be seen as rude. If invited to a home, bring a small gift like high-quality sweets or pastries for the host."
Egypt,Communication,"Listen carefully for what is not said. A 'yes' may simply mean 'I hear you,' not 'I agree.' Avoid direct confrontation or aggressive negotiation tactics."
Egypt,Etiquette,"Be mindful of prayer times when scheduling meetings. Dress conservatively, covering shoulders and knees, especially when visiting traditional neighborhoods or religious sites."
India,Hierarchy,"Address senior colleagues formally (Sir/Madam) until explicitly told otherwise. Decisions are often made strictly at the top; be patient with the chain of command."
India,Communication,"Indians may avoid saying a direct 'no' to prevent causing offense. Look for hesitations, changing the subject, or phrases like 'I will try my best' as potential negatives."
India,Etiquette,"If eating with your hands is the custom, use only your right hand for eating and passing items. When dining with Hindu colleagues, avoid ordering beef or pork dishes."
Iran,Etiquette,"Understand 'Taarof' (ritual politeness). If a host or shopkeeper repeatedly refuses payment or offers something, politely insist two or three times. It is a dance of respect, not a literal refusal."
Iran,Relationships,"Expect immense generosity and hospitality. Accepting food and drink is crucial for building trust. Never decline an offer of tea or a meal without a very strong excuse."
Iran,Communication,"Pay close attention to tone and non-verbal cues. Public disagreement or raising your voice is avoided to preserve dignity and social harmony."
Japan,Greetings,"Treat business cards (meishi) as an extension of the person. Present and receive them with two hands, study the card carefully, and place it respectfully on the table."
Japan,Communication,"Silence is a sign of respect and contemplation. Allow for a 3-to-5 second pause after asking a question; do not rush to fill the silence or interrupt."
Japan,Etiquette,"Keep your voice low in public spaces and on transport. Avoid taking phone calls in shared environments to respect the collective harmony (Wa)."
Malaysia,Etiquette,"Avoid public criticism or raising your voice. Disagreements should be handled privately and subtly to preserve group harmony and prevent anyone from losing face."
Malaysia,Religion,"Be mindful of Halal dietary restrictions when arranging meals. During the month of Ramadan, avoid eating, drinking, or smoking in front of fasting colleagues during daylight hours."
Malaysia,Hierarchy,"Use professional or honorific titles (like Dato' or Tan Sri) if applicable. Never point at someone or something with your index finger; use your right thumb or an open hand instead."
Nigeria,Hierarchy,"Greet the eldest or most senior person in the room first. Use professional titles (Chief, Doctor, Professor) as they are highly valued markers of respect and achievement."
Nigeria,Relationships,"Business moves at the speed of trust. Invest heavily in small talk, asking about family, and establishing a personal connection before transitioning to business matters."
Nigeria,Communication,"Communication can be loud, animated, and passionate. Do not mistake high energy or expressive gestures for aggression; it is a sign of deep engagement."
Russia,Formality,"Always address counterparts by their First Name and Patronymic, and use the formal 'Vy' (You) until explicitly invited to use the informal 'Ty'."
Russia,Relationships,"Major decisions are rarely made in the initial formal meeting. Accept invitations to socialize and be prepared for deep, philosophical conversations over dinner to build real trust."
Russia,Hierarchy,"Direct your main arguments and respect toward the most senior person in the room. Bypassing the chain of command to speak to a subordinate is seen as a breach of protocol."
US,Communication,"Be clear, concise, and explicit. 'Yes' means yes, and 'No' means no. Do not rely on the other party to 'read the air' or guess your underlying intentions."
US,Time,"Time is a tangible resource. Start and end meetings exactly on time. If you are running late, notify the other party immediately, as punctuality is equated with professionalism."
US,Hierarchy,"The culture is highly egalitarian. It is acceptable and often encouraged to respectfully challenge ideas, regardless of job title. First names are used almost immediately."
