Dimension,GapCategory,Direction,Urgency,RecommendationText
PerformanceOrientation,High,UserHigher,Red,"You are significantly more performance-oriented than the target culture. Action: Soften your focus on metrics and results. Emphasize how your performance benefits the group, avoid publicly criticizing underperformers, and prioritize team harmony over strict KPIs."
PerformanceOrientation,High,UserLower,Red,"You are significantly more harmony-oriented than the target culture. Action: Focus on metrics, KPIs, and tangible results. Be prepared to be evaluated strictly on your output, and don't be afraid to highlight your achievements and compete for recognition."
PerformanceOrientation,Medium,UserHigher,Yellow,"You are more performance-oriented than the target culture. Action: Balance your high standards with a focus on team cohesion. Address performance issues indirectly and privately to maintain group morale."
PerformanceOrientation,Medium,UserLower,Yellow,"You are more harmony-oriented than the target culture. Action: Increase your focus on results and excellence. Set high standards for yourself and your team, and understand that rewarding merit is expected here."
PerformanceOrientation,Low,Aligned,Green,"Your performance orientation aligns well with the target culture. You naturally understand their balance between achieving results and maintaining harmony. This will facilitate smooth team management and goal setting."
Assertiveness,High,UserHigher,Red,"You are significantly more assertive and confrontational than the target culture. Action: Soften your approach. Lower your voice, avoid aggressive body language, and use indirect language to preserve harmony and save face. Prioritize group consensus over 'winning' the argument."
Assertiveness,High,UserLower,Red,"You are significantly more modest and non-confrontational than the target culture. Action: Speak up confidently and state your opinions clearly. Engage in constructive debate, use direct eye contact, and do not mistake their directness for personal hostility."
Assertiveness,Medium,UserHigher,Yellow,"You are more assertive than the target culture. Action: Practice active listening and soften your tone. Avoid interrupting others and focus on building consensus rather than aggressively pushing your ideas."
Assertiveness,Medium,UserLower,Yellow,"You are more modest than the target culture. Action: Practice being more direct. Volunteer your opinions without waiting to be asked, and view disagreement as a normal, healthy part of the professional process."
Assertiveness,Low,Aligned,Green,"Your level of assertiveness aligns well with the target culture. You naturally understand their balance between directness and harmony. This will facilitate smooth, comfortable negotiations and daily interactions."
FutureOrientation,High,UserHigher,Red,"You are significantly more future-oriented than the target culture. Action: Be prepared for more spontaneous decision-making and a focus on immediate results. Don't get frustrated if locals abandon a long-term plan for an immediate opportunity; adapt by breaking your goals into smaller milestones."
FutureOrientation,High,UserLower,Red,"You are significantly more present-oriented than the target culture. Action: Develop long-term strategic plans and show commitment to delayed gratification. Invest in projects that may not yield results for years, and emphasize sustainability in your communications."
FutureOrientation,Medium,UserHigher,Yellow,"You are more future-oriented than the target culture. Action: Focus on the present moment with your colleagues. Enjoy immediate outcomes and be willing to pivot your long-term plans when a better short-term opportunity arises."
FutureOrientation,Medium,UserLower,Yellow,"You are more present-oriented than the target culture. Action: Start incorporating long-term planning into your proposals. Demonstrate patience and show that you are willing to invest time now for a payoff later."
FutureOrientation,Low,Aligned,Green,"Your future orientation aligns well with the target culture. You naturally understand their balance between planning for tomorrow and living for today. This will facilitate smooth strategic alignment and project pacing."
HumaneOrientation,High,UserHigher,Red,"You are significantly more humane and altruistic than the target culture. Action: Be prepared for more direct, transactional interactions. Don't take it personally if locals prioritize efficiency over relationship-building; focus on the task at hand and understand that directness is a sign of efficiency."
HumaneOrientation,High,UserLower,Red,"You are significantly more pragmatic and self-interested than the target culture. Action: Show genuine care and empathy. Invest time in asking about people's well-being, be generous with your time, and avoid appearing cold or purely transactional."
HumaneOrientation,Medium,UserHigher,Yellow,"You are more humane than the target culture. Action: Focus on logic and efficiency in your business dealings. Protect your boundaries and channel your desire to help into structured, professional initiatives rather than personal altruism."
